id	term	variants	translation	stem	forms	note	category	status	short_of
military_command	Military Command					Військове командування, яке керує конфліктом із орбітального штабу та оцінює оборону Fort Meru.	Фракції	new	
m_i	M.I.	M.I|MI				Скорочена назва Mobile Infantry, що мобілізується для фінального штурму.	Фракції	new	mobile_infantry
federation_marine_corps	Federation Marine Corps					Federation Marine Corps — елітне піхотне формування під командуванням Fleet.	Фракції	new	
hit_point	Hit Point	hit points				Hit Point — одиниця запасу здоров'я Royal Guard, пов'язана зі спрацюванням Enrage та остаточною загибеллю юніта.	Механіки	new	
rage_timer	Rage Timer					Rage Timer — таймер тривалості стану Enrage, після завершення якого Royal Guard гине.	Механіки	new	
saturation_barrage	Saturation Barrage					Назва бойової здібності газової зброї, що накриває цільову область залпом інсектицидних гранат.	Здібності	new	
xt_a_gas_canister	XT-A Gas Canister					Спеціальний газовий балон, який скидають для ураження всіх форм життя у великому радіусі.	Зброя і техніка	new	
pressurized_gasthrower	Pressurized Gasthrower					Спеціалізована газова зброя, що розпилює інсектицид безпосередньо на ворога.	Зброя і техніка	new	
flat_sand	Flat Sand					Тип піщаного ландшафту в редакторі місцевості.	Механіки	new	
sandy_pebbles	Sandy Pebbles					Тип ландшафту з піщаною галькою в редакторі місцевості.	Механіки	new	
pebbles	Pebbles					Тип галькового ландшафту в редакторі місцевості.	Механіки	new	
rocky_pebbles	Rocky Pebbles					Тип кам'янисто-галькового ландшафту в редакторі місцевості.	Механіки	new	
sandy_rocks	Sandy Rocks					Тип піщано-кам'янистого ландшафту в редакторі місцевості.	Механіки	new	
grassy_sand	Grassy Sand					Тип піщаного ландшафту з травою в редакторі місцевості.	Механіки	new	
score	Score					Показник набраних гравцем очок у сценарії.	Механіки	new	
high_score	High Score					Найвищий результат за очками, досягнутий у сценарії.	Механіки	new	
difficulty_modifier	Difficulty Modifier					Множник підсумкових очок, що залежить від вибраного рівня складності.	Механіки	new	
chemical_troopers	Chemical Troopers					Спеціалізований підрозділ Федерації для ведення хімічної війни.	Юніти Федерації	new	
chemical_gas	Chemical Gas					Хімічний бойовий засіб, пов’язаний зі спорядженням хімічних підрозділів.	Зброя і техніка	new	
electro_turret	Electro-Turret					Електрична стаціонарна турель Федерації, здатна атакувати наземні й повітряні цілі.	Зброя і техніка	new	
lethal_gas_cloud	Lethal Gas Cloud					Смертоносна газова хмара як бойовий ефект хімічної зброї.	Механіки	new	
chemical_barrels	Chemical Barrels					Ігровий об’єкт із хімічними речовинами, пов’язаний із хімічною зброєю.	Зброя і техніка	new	
gas_canister	Gas Canister					Боєприпас-контейнер із газом для застосування хімічної зброї.	Зброя і техніка	new	
sandy_dunes	Sandy Dunes					Іменований тип піщаного рельєфу на ігрових картах.	Локації	new	
first_line	First Line					Названа оборонна позиція в місії Tide Breaker, яку потрібно утримувати в умові досягнення.	Локації	new	
ammo_cache	Ammo Cache	Ammo Caches				Захоплювані сховища боєприпасів, усі з яких потрібно взяти під контроль для досягнення.	Механіки	new	
supply_cache	Supply Cache	Supply Caches				Об’єкти із запасами, які потрібно зібрати для виконання досягнення.	Механіки	new	
mx_156_plasma_drop_bomb	MX-156 Plasma Drop Bomb					Здібність Marauder зі скидання плазмової бомби, пов’язана з досягненням у Federatsiyagrad.	Здібності	new	
anti_tanker	Anti-Tanker					Назва срібного глобального досягнення за знищення певної кількості важкоброньованих арахнідів.	Загальне	new	
direct_command	Direct Command					Назва командної здібності, яка тимчасово посилює вибраний дружній піхотний підрозділ.	Здібності	new	
local_command	Local Command					Назва командної здібності, яка посилює всі дружні піхотні підрозділи поблизу.	Здібності	new	
vilon_station	Vilon Station	Vilon Station's				Орбітальна комерційна станція біля планети Gehenna у кампанії Lava DLC.	Локації	new	
hephaestar_corporation	HephaeStar Corporation	HephaeStar|HephaeStar Corp|Hephaestar's|Hephaestar’s				Корпорація, що керує Vilon Station у кампанії Lava DLC.	Фракції	new	
gehenna	Gehenna					Вулканічна планета, на якій відбуваються події кампанії Lava DLC.	Локації	new	
riya_patel	Riya Patel					Директорка Vilon Station, яка звертається по військову допомогу в кампанії Lava DLC.	Персонажі	new	
medic	MEDIC!					Назва досягнення за знищення власних бійців гранатою в кампанії.	Механіки	new	
dragon_island	Dragon Island	Dragon Isle				Острів у лавовому озері та місце дії відповідної місії Lava DLC.	Локації	new	
carl_jenkins	Carl Jenkins					Полковник, який очолює дослідження поведінки арахнідів у фіналі кампанії Lava DLC.	Персонажі	new	
patrol_buggy	Patrol Buggy					Патрульний транспортний засіб із переліку юнітів Lava DLC.	Зброя і техніка	new	
rippler_bug	Rippler Bug	Rippler Bugs				Різновид літаючих арахнідів із переліку юнітів Lava DLC.	Арахніди	new	
rhino_bug	Rhino Bug	Rhino Bugs				Важкий різновид арахніда з переліку юнітів Lava DLC.	Арахніди	new	
robotics_operator	Robotics Operator					Спеціаліст Федерації з електроніки, робототехніки та автоматизованого озброєння у Lava DLC.	Юніти Федерації	new	
auto_turret	Auto Turret	Auto-Turret				Автоматична бойова турель із переліку юнітів Lava DLC.	Юніти Федерації	new	
spider_mine	Spider Mine					Роботизована міна з переліку одиниць спорядження Lava DLC.	Зброя і техніка	new	
recon_drone	Recon Drone					Розвідувальний безпілотний апарат із Lava DLC.	Зброя і техніка	new	
electro_mortar	Electro-Mortar					Електрична артилерійська установка непрямого вогню з Lava DLC.	Зброя і техніка	new	
electro_cannon	Electro-Cannon					Далекобійна електрична гармата проти броньованих цілей із Lava DLC.	Зброя і техніка	new	
aa	AA					Скорочене позначення протиповітряного призначення варіанта Electro-Turret.	Механіки	new	anti_air
electro_generator	Electro-Generator					Генератор із Lava DLC, який живить електричні пристрої та турелі поблизу.	Зброя і техніка	new	
spike_nest	Spike Nest					Названа оборонна споруда або бойова установка з Lava DLC.	Зброя і техніка	new	
firefly_nest	Firefly Nest					Споруда-гніздо арахнідів, пов’язана з юнітами Firefly у Lava DLC.	Арахніди	new	
firefly_bug	Firefly Bug					Летючий бойовий різновид арахнідів у Lava DLC.	Арахніди	new	
field_artillery	Field Artillery					Артилерійський підрозділ Федерації для далекобійної вогневої підтримки в Lava DLC.	Юніти Федерації	new	
electro_flamer	Electro-Flamer					Іменований різновид електричної вогнеметної зброї або оснащеного нею бойового засобу в Lava DLC.	Зброя і техніка	new	
electro_battery	Electro-Battery					Іменована електрична батарея або бойова установка Федерації в Lava DLC.	Зброя і техніка	new	
battlecruiser	Battlecruiser					Великий бойовий космічний корабель Федерації, згаданий у Lava DLC.	Юніти Федерації	new	
sandworm	Sandworm					Великий червоподібний різновид арахнідів у Lava DLC.	Арахніди	new	
storm_shield	Storm Shield					Іменований захисний ефект або здатність у Lava DLC.	Здібності	new	
aegis_bug	Aegis Bug					Захисний бойовий різновид арахнідів у Lava DLC.	Арахніди	new	
storm_shelter	Storm Shelter					Захисна споруда від штормів у Lava DLC.	Технології	new	
storm_hunter	Storm Hunter	Storm Hunters				Спеціалізований підрозділ Федерації, пов’язаний зі штормовими умовами в Lava DLC.	Юніти Федерації	new	
storm_critter	Storm Critter	Storm Critters				Різновид дрібних істот, пов’язаний зі штормовими умовами в Lava DLC.	Арахніди	new	
orbital_corvette	Orbital Corvette					Орбітальний бойовий корабель для швидкого переміщення та важкої вогневої підтримки в Lava DLC.	Зброя і техніка	new	
pyrofly	Pyrofly	Pyroflies				Летючий різновид Arachnid, який зависає в повітрі та розпилює палаючу речовину в Lava DLC.	Арахніди	new	
minerals_cart	Minerals Cart					Візок для перевезення мінералів, представлений як окремий об’єкт у Lava DLC.	Зброя і техніка	new	
volcano_small	Volcano (Small)					Малий різновид вулкана як об’єкта середовища в Lava DLC.	Локації	new	
lava_geyser	Lava Geyser					Лавовий гейзер як об’єкт середовища в Lava DLC.	Локації	new	
lava_geyser_closed	Lava Geyser (Closed)					Закритий стан лавового гейзера як об’єкта середовища в Lava DLC.	Локації	new	
immolator	Immolator	Immolators|Immolator Bugs				Тип арахніда в Lava DLC, який вивергає запальну речовину та вибухає після смертельного поранення.	Арахніди	new	
mk_ii_marauder	Mk.II Marauder					Модифікація Mk.II бойового юніта Marauder у Lava DLC.	Юніти Федерації	new	
volcano_medium	Volcano (Medium)					Середній різновид вулкана як об’єкта середовища в Lava DLC.	Локації	new	
volcano_large	Volcano (Large)					Великий різновид вулкана як об’єкта середовища в Lava DLC.	Локації	new	
guard_grenadier_bug	Guard Grenadier Bug					Охоронний різновид арахніда Grenadier у Lava DLC.	Арахніди	new	
stinger_nest	Stinger Nest	Stinger Nests				Споруда арахнідів, пов’язана з породженням або розміщенням повітряних бойових істот у Lava DLC.	Арахніди	new	
command_station	Command Station	Command Stations				Командна споруда Федерації, представлена як окремий ігровий об’єкт у Lava DLC.	Технології	new	
pulse_stryder	Pulse Stryder					Бойовий юніт Федерації середнього класу, призначений для боротьби з повітряними цілями в Lava DLC.	Юніти Федерації	new	
hover_gun	Hover Gun					Мобільна вогнева установка Федерації, що може переходити в розгорнутий стан у Lava DLC.	Зброя і техніка	new	
penal_squad	Penal Squad					Дешевий піхотний загін Федерації, який може бути підвищений до Rifle Trooper у Lava DLC.	Юніти Федерації	new	
resource_prospector	Resource Prospector					Промисловий об’єкт для пошуку ресурсів у Lava DLC.	Технології	new	
tear_gas	Tear Gas					Спеціальний боєприпас або засіб ураження в Lava DLC.	Зброя і техніка	new	
pumping_station	Pumping Station	Pumping Stations				Названа промислова споруда або ділянка місії в Lava DLC.	Локації	new	
radio_mainframe	Radio Mainframe					Центральний обчислювальний вузол радіосистеми в Lava DLC.	Технології	new	
driller	Driller					Спеціалізована бурова машина або промисловий пристрій у Lava DLC.	Зброя і техніка	new	
radio_facility	Radio Facility					Споруда зв’язку в Lava DLC.	Зброя і техніка	new	
gate_tall	Gate Tall					Високі ворота в закритому стані в Lava DLC.	Зброя і техніка	new	
gate_taller	Gate Taller					Вищий різновид воріт у закритому стані в Lava DLC.	Зброя і техніка	new	
frag_mercs	Frag Mercs					Загін найманців із дробовиковим варіантом озброєння в Lava DLC.	Юніти Федерації	new	
shotgun	Shotgun					Варіант озброєння та режим стрільби загону Frag Mercs у Lava DLC.	Зброя і техніка	new	
fragmentation_round	fragmentation round	fragmentation rounds				Тип боєприпасів Frag Mercs для стрільби в режимі shotgun.	Зброя і техніка	new	
shotgun_mode	shotgun mode	'shotgun' mode|'shotgun'				Режим стрільби Frag Mercs фрагментаційними боєприпасами.	Механіки	new	
canister_grenade	canister grenade	canister grenades				Тип гранат, якими можуть стріляти Frag Mercs.	Зброя і техніка	new	
grenade_mode	grenade mode	'grenade' mode|'grenade'				Режим стрільби Frag Mercs гранатами canister grenade.	Механіки	new	
cooling_vent	Cooling Vent					Охолоджувальна вентиляційна споруда в Lava DLC.	Зброя і техніка	new	
heat_reactor	Heat Reactor					Тепловий реактор, показаний у відеосубтитрах Lava DLC.	Технології	new	
captain_zhao	Captain Zhao					Персонаж у званні капітана, згаданий у відеосубтитрах Lava DLC.	Персонажі	new	
thermal_driller	Thermal Driller					Термальна бурова установка, показана у відеосубтитрах Lava DLC.	Зброя і техніка	new	
burster_bug	Burster Bug					Різновид бойового арахніда, показаний у відеосубтитрах Lava DLC.	Арахніди	new	
engineering_biped	Engineering Biped	Engineering Bipeds				Інженерний двоногий юніт, показаний у відеосубтитрах Lava DLC.	Юніти Федерації	new	
king_tanker	King Tanker	King Tankers				Особливий важкий бойовий різновид арахнідів у Lava DLC.	Арахніди	new	
goliath_artillery	Goliath Artillery					Далекобійний артилерійський підрозділ Федерації у Lava DLC.	Юніти Федерації	new	
technician	Technician	Technicians				Неозброєний будівельний підрозділ Федерації у Lava DLC.	Юніти Федерації	new	
assault_marine	Assault Marine	Assault Marines				Важкоброньований штурмовий підрозділ Федерації для бою на передовій у Lava DLC.	Юніти Федерації	new	
nuke	Nuke	nukes				Ядерний боєприпас у стані готовності до застосування в Lava DLC.	Зброя і техніка	new	
nuclear_engineer	Nuclear Engineer	Nuclear Engineers				Інженерний підрозділ Федерації, пов’язаний із ядерними системами в Lava DLC.	Юніти Федерації	new	
fleet_beacon	Fleet Beacon					Сигнальний пристрій Fleet у Lava DLC.	Технології	new	
wall_vent	Wall Vent					Настінний вентиляційний пристрій у відкритому стані в Lava DLC.	Технології	new	
firefighter	Firefighter	Firefighters				Підрозділ пожежників, що діє під час надзвичайних ситуацій у Lava DLC.	Юніти Федерації	new	
extinguishable_fire	Extinguishable Fire					Осередок пожежі в Lava DLC, який може бути загашений ігровими засобами.	Механіки	new	
station_crew	Station Crew					Персонал станції, представлений як окрема група в Lava DLC.	Юніти Федерації	new	
mercenary_captain	Mercenary Captain					Командир найманців, представлений як окремий тип юніта в Lava DLC.	Юніти Федерації	new	
shredder_merc	Shredder Merc	Shredder Mercs				Найманець із портативною скорострільною зброєю, представлений у Lava DLC.	Юніти Федерації	new	
cargo_freighter	Cargo Freighter					Вантажний транспортний корабель, представлений як окремий юніт у Lava DLC.	Юніти Федерації	new	
powered_suit_incinerator	Powered Suit Incinerator	Powered Suit Incinerators				Елітний підрозділ бійців у силових костюмах з вогнеметами, представлений у Lava DLC.	Юніти Федерації	new	
shredder_merc_tripod	Shredder Merc (Tripod)					Найманий бойовий юніт на тринозі з доповнення Lava DLC.	Юніти Федерації	new	
powered_suit_officer	Powered Suit Officer					Офіцер Федерації в силовому костюмі з доповнення Lava DLC.	Юніти Федерації	new	
the_director	The Director					Персонаж із титулом директора, пов'язаний із доповненням Lava DLC.	Персонажі	new	
chair_scientist	Chair Scientist					Сценічний варіант юніта Scientist у кріслі для відеоматеріалів доповнення Lava DLC.	Юніти Федерації	new	
chair_crew	Chair Crew					Сценічний варіант члена екіпажу в кріслі для відеоматеріалів доповнення Lava DLC.	Юніти Федерації	new	
chair_trooper	Chair Trooper					Сценічний варіант бійця Федерації в кріслі для відеоматеріалів доповнення Lava DLC.	Юніти Федерації	new	
engineer	Engineer	Engineers				Інженерні юніти Федерації з доповнення Lava DLC.	Юніти Федерації	new	
frag_mine	Frag Mine	Frag Mines				Вибухова міна, представлена серед об’єктів і озброєння Lava DLC.	Зброя і техніка	new	
fire_mine	Fire Mine					Запалювальна міна, представлена серед об’єктів і озброєння Lava DLC.	Зброя і техніка	new	
stinger	Stinger	Stingers				Дрібний дистанційний юніт Арахнідів, який випускає розігріті снаряди та часто перебуває біля високих гнізд у Lava DLC.	Арахніди	new	
shredder_fire_pool	Shredder Fire Pool					Вогняна небезпечна зона або ефект, пов’язаний із Shredder у Lava DLC.	Механіки	new	
waste_incinerator	Waste Incinerator					Промисловий об’єкт для спалювання відходів, представлений у Lava DLC.	Зброя і техніка	new	
bug_vent	Bug Vent	Bug Vents				Отвір або споруда Арахнідів, через яку з’являються їхні юніти в Lava DLC.	Арахніди	new	
empty_lair	Empty Lair					Порожнє лігво арахнідів як окремий об’єкт у Lava DLC.	Арахніди	new	
prospector	Prospector	Prospectors				Шахтарський юніт Федерації у Lava DLC.	Юніти Федерації	new	
pheromone_carrier	Pheromone Carrier					Спеціалізований арахнідський юніт із матеріалів Lava DLC.	Арахніди	new	
rifle_mercs	Rifle Mercs					Загін найманців зі стрілецькою зброєю в матеріалах Lava DLC.	Юніти Федерації	new	
fire_lancer	Fire Lancer					Тип арахнідського бойового юніта в матеріалах Lava DLC.	Арахніди	new	
bomberbee	Bomberbee	Bomberbees				Малий летючий арахнідський юніт-камікадзе з матеріалів Lava DLC.	Арахніди	new	
sedated_bugs	Sedated Bugs					Приспаний різновид арахнідських юнітів у матеріалах Lava DLC.	Арахніди	new	
guard_grenadier	Guard Grenadier	Guard Grenadiers				Різновид Grenadier, згаданий серед загроз мутацій у відеосубтитрах Lava DLC.	Арахніди	new	
rippler	Rippler	Ripplers				Тип арахнідського юніта, згаданий серед загроз мутацій у відеосубтитрах Lava DLC.	Арахніди	new	
spiker	Spiker	Spikers				Тип арахнідського юніта, згаданий серед загроз мутацій у відеосубтитрах Lava DLC.	Арахніди	new	
defense_in_depth	Defense in Depth					Назва мутації або оборонного ефекту арахнідів у відеосубтитрах Lava DLC.	Механіки	new	
smog_cloud	Smog Cloud					Іменований ефект або небезпечна хмара смогу у відеосубтитрах Lava DLC.	Механіки	new	
nuke_construction_site	Nuke Construction Site					Будівельний майданчик ядерної зброї у відеосубтитрах Lava DLC.	Зброя і техніка	new	
shredder_lair	Shredder Lair					Лігво арахнідів типу Shredder у відеосубтитрах Lava DLC.	Арахніди	new	
collapsed	Collapsed					Стан вулика арахнідів у розширеному індикаторі стану вулика.	Механіки	new	
unoccupied	Unoccupied					Стан вулика арахнідів у розширеному індикаторі стану вулика.	Механіки	new	
dormant	Dormant					Стан вулика арахнідів у розширеному індикаторі стану вулика.	Механіки	new	
active	Active					Стан вулика арахнідів у розширеному індикаторі стану вулика.	Механіки	new	
cleared	Cleared	clear|clearing|clearing out				Стан вулика арахнідів у розширеному індикаторі стану вулика.	Механіки	new	
occupied	Occupied					Стан вулика арахнідів у розширеному індикаторі стану вулика.	Механіки	new	
armor_piercing_clips	Armor Piercing Clips					Назва здібності, що споряджає боєць бронебійною обоймою в Lava DLC.	Здібності	new	
ap	AP					Скорочення властивості бронебійних боєприпасів в описі здібності Armor Piercing Clips.	Механіки	new	armor_piercing
skirmish_mode	Skirmish Mode					Назва окремого режиму сутички в категоріях сценаріїв Lava DLC.	Механіки	new	
steam_workshop	Steam Workshop					Назва сервісу Steam для користувацького контенту, сторінку якого відкриває підказка.	Загальне	new	
control_group	Control Group	control groups|controlgroup				Ігрова механіка об’єднання вибраних юнітів у групи для швидкого керування за допомогою клавіш.	Механіки	new	
terran_command	Terran Command					Скорочена назва гри, спільнота якої створює та поширює власні сценарії.	Загальне	new	
the_artistocrats	The Artistocrats					Назва студії-розробника гри, згадана у застереженні щодо користувацьких сценаріїв.	Загальне	new	
slitherine_ltd	Slitherine Ltd.					Назва компанії-видавця гри, згадана у застереженні щодо користувацьких сценаріїв.	Загальне	new	
tristar_pictures_inc	TriStar Pictures, Inc.					Назва правовласника, згадана у застереженні про відсутність офіційної підтримки користувацького вмісту.	Загальне	new	
shredder	Shredder	Shredders				Юніт Федерації з переносним і стаціонарним режимами застосування у Lava DLC.	Юніти Федерації	new	
firestarter	Firestarter					Здібність юніта Shredder із запалювальними набоями у Lava DLC.	Здібності	new	
stimpack	Stimpack					Здібність юніта Shredder, що тимчасово посилює бійця у Lava DLC.	Здібності	new	
fragmentation_mine	Fragmentation Mine					Міна з уламковою дією, представлена як окрема розгортана зброя в Lava DLC.	Зброя і техніка	new	
incendiary_mine	Incendiary Mine					Запалювальна міна, представлена як окрема розгортана зброя в Lava DLC.	Зброя і техніка	new	
tripod_mode	Tripod Mode					Стаціонарний режим Shredder Mercs, у якому мініган установлюється на триногу.	Здібності	new	
mobile_mode	Mobile Mode	mobile				Здібність або режим Shredder Mercs, що відповідає його мобільному стану.	Здібності	new	
double_charge_grenade	Double-Charge Grenade					Назва гранатної здібності найманця з двома послідовними зарядами в Lava DLC.	Здібності	new	
funds	Funds					Ігровий ресурс, потрібний для наймання найманців у Lava DLC.	Механіки	new	
self_repair	Self-Repair					Базова здібність інженерного двоногого бойового юніта до поступового самостійного ремонту в Lava DLC.	Здібності	new	
dirty_fumes	Dirty Fumes					Елітна здібність інженерного двоногого бойового юніта, що створює густий задушливий смог у Lava DLC.	Здібності	new	
fire_trail	Fire Trail					Елітна здібність інженерного двоногого бойового юніта, що залишає вогняний слід у Lava DLC.	Здібності	new	
incendiary_strike	Incendiary Strike					Здібність Lava DLC, що викликає авіаційний удар запалювальними бомбами.	Здібності	new	
contact_fuze_grenade	Contact-Fuze Grenade					Ручна граната з контактним підривачем, яка вибухає під час удару об ціль.	Зброя і техніка	new	
mercenary	Mercenary	Mercenaries|mercs				Підрозділ найманців, чия гранатна здібність використовується в умові досягнення.	Юніти Федерації	new	
raising_hell	Raising Hell					Назва кампанії, проходження якої є умовою цього досягнення.	Загальне	new	
chemical_experiments	Chemical Experiments					Назва окремої категорії ігрових випробувань.	Механіки	new	
varuna	Varuna					Назва міста та кампанії з доповнення Metropolis DLC.	Локації	new	
metropolis	Metropolis					Назва міського типу місцевості в доповненні Metropolis DLC.	Локації	new	
metropolis_underground	Metropolis Underground					Назва підземного міського типу місцевості в доповненні Metropolis DLC.	Локації	new	
urban_onslaught	Urban Onslaught					Офіційна назва доповнення, пов’язаного з кампанією Varuna.	Загальне	new	
mahanagar	Mahanagar	Mahanagar's|Mahanagar’s				Назва одного з найбільших міст Federation, де розгортається кампанія Varuna.	Локації	new	
materiel	Materiel					Назва ігрового ресурсу, що використовується для забезпечення підрозділів у Metropolis DLC.	Механіки	new	
police_squad	Police Squad					Підрозділ поліції Федерації з Metropolis DLC, що використовує допоміжні дрони.	Юніти Федерації	new	
detainer_drone	Detainer Drone	detainer drones				Допоміжні дрони Police Squad у Metropolis DLC, які відволікають ворожі атаки.	Юніти Федерації	new	
scorpion	Scorpion	Scorpions				Великий тип бойового Arachnid, згаданий у довідці Police Squad з Metropolis DLC.	Арахніди	new	
autocannon_turret	Autocannon Turret	Autocannon Turrets				Стаціонарна оборонна турель Федерації з Metropolis DLC, озброєна автогарматами.	Юніти Федерації	new	
mortar_turret	Mortar Turret					Стаціонарна оборонна турель Федерації з Metropolis DLC, що веде навісний мінометний вогонь.	Юніти Федерації	new	
heavy_gun_turret	Heavy Gun Turret					Оборонна артилерійська турель Федерації з доповнення Metropolis DLC.	Юніти Федерації	new	
ballistic_missile_turret	Ballistic Missile Turret	Ballistic Missile Turrets				Далекобійна ракетна турель Федерації з доповнення Metropolis DLC.	Юніти Федерації	new	
sentinel_drone	Sentinel Drone					Окремий тип сторожового безпілотного юніта з доповнення Metropolis DLC.	Юніти Федерації	new	
riot_shield_squad	Riot Shield Squad	Riot Shield Squads				Важкоброньований поліцейський загін зі щитами з доповнення Metropolis DLC.	Юніти Федерації	new	
braced	Braced					Бойовий стан Riot Shield Squad, зазначений у назві варіанта юніта.	Механіки	new	
peacekeeper_biped	Peacekeeper Biped	Peacekeeper				Двоногий командний юніт сил правопорядку з доповнення Metropolis.	Юніти Федерації	new	
peacekeeper_drone	Peacekeeper Drone					Безпілотний юніт сил правопорядку з доповнення Metropolis.	Юніти Федерації	new	
bomber_drone	Bomber Drone					Летючий бомбардувальний різновид арахніда з доповнення Metropolis.	Арахніди	new	
sgt_kayla_keys	Sgt. Kayla Keys					Персонаж у званні сержанта, пов’язаний із кампанією доповнення Metropolis.	Персонажі	new	
hornet	Hornet	Hornets				Летючий різновид арахніда, представлений у доповненні Metropolis.	Арахніди	new	
drawbridge	Drawbridge	Drawbridge (Up)|Drawbridge (Down)|drawbridges				Інтерактивний розвідний міст у піднятому стані в Metropolis DLC.	Загальне	new	
materiel_cache	Materiel Cache					Сховище ресурсу Materiel у Metropolis DLC.	Механіки	new	
reinforcements_door	Reinforcements Door					Двері в Metropolis DLC, через які прибувають підкріплення.	Загальне	new	
materiel_depot	Materiel Depot	Materiel Depot (Destroyed)|Materiel Depots|Materiel Depot(Empty)				Об’єкт зберігання ресурсу Materiel у Metropolis DLC.	Механіки	new	
sam_site	SAM Site	SAM Sites				Позиція зенітно-ракетного озброєння в Metropolis DLC; SAM є скороченням.	Зброя і техніка	new	
m23_rainmaker	M23 Rainmaker					Бойовий юніт Федерації з доповнення Metropolis.	Юніти Федерації	new	
rainmaker_drone	Rainmaker Drone					Безпілотний бойовий юніт Федерації з доповнення Metropolis.	Юніти Федерації	new	
a_12_pegasus	A-12 Pegasus					Ударний літальний апарат Федерації з доповнення Metropolis.	Юніти Федерації	new	
rocket_pod	Rocket Pod	rocket pods				Ракетне озброєння літального апарата A-12 Pegasus для ураження стійких наземних цілей.	Зброя і техніка	new	
j_a_c_trooper	J.A.C. Trooper	J.A.C. Troopers				Піхотний юніт Федерації з реактивним спорядженням і штурмовою гарматою в доповненні Metropolis.	Юніти Федерації	new	
jumpjet_assault_cannon_trooper	Jumpjet Assault Cannon Trooper					Піхотні юніти Федерації для боротьби із середньоброньованими цілями в доповненні Metropolis.	Юніти Федерації	new	
recoilless_rifle	Recoilless Rifle					Основна зброя юніта Jumpjet Assault Cannon Trooper, пострілу якої можуть перешкоджати дружні підрозділи.	Зброя і техніка	new	
jumpjet_suit	Jumpjet Suit					Реактивне спорядження юніта Jumpjet Assault Cannon Trooper, яке дає змогу швидко змінювати позицію.	Зброя і техніка	new	
elevator_entrance	Elevator Entrance					Вхід до ліфта як об'єкт місцевості в доповненні Metropolis.	Локації	new	
control_tower	Control Tower					Керівна башта як об'єкт місцевості в доповненні Metropolis.	Локації	new	
burster	Burster	Bursters|Burster Bugs				Burster — тип арахніда з Metropolis DLC, що викидає вибухову речовину та вибухає після загибелі.	Арахніди	new	
criminal	Criminal	Criminals				Criminal — тип людського бойового юніта в Metropolis DLC.	Загальне	new	
m7_cyclone	M7 Cyclone	M7				M7 Cyclone — мобільна бойова платформа в Metropolis DLC.	Зброя і техніка	new	
range_mid_range	Range (mid-range)					Range (mid-range) — характеристика дальності вогню, що описує роль M23 Rainmaker у вогневій підтримці.	Механіки	new	
deployed_mode	Deployed Mode					Deployed Mode — розгорнутий режим роботи M23 Rainmaker із підвищеною дальністю та темпом вогню.	Здібності	new	
hornet_tanker	Hornet Tanker	Hornet Tankers				Симбіотичний бойовий юніт, утворений поєднанням великого арахніда з гніздом летючих арахнідів у Metropolis DLC.	Арахніди	new	
hornet_nest	Hornet Nest					Споруда арахнідів, яка безперервно породжує летючих арахнідів у Metropolis DLC.	Арахніди	new	
ravager	Ravager	Ravagers				Важкий тип арахніда з вибуховою дистанційною атакою та потужними клешнями в Metropolis DLC.	Арахніди	new	
limited_lethality_grenade	Limited-Lethality Grenade					Метальна вибухова здібність поліцейського підрозділу в доповненні Metropolis DLC.	Здібності	new	
crowd_dispersal_grenade	Crowd Dispersal Grenade					Метальна вибухова здібність для розосередження натовпу в доповненні Metropolis DLC.	Здібності	new	
whackie_talkie	Whackie-Talkie					Саморобний відволікальний вибуховий пристрій у доповненні Metropolis DLC.	Здібності	new	
shield_brace	Shield Brace					Захисна здібність загону зі щитами в доповненні Metropolis DLC.	Здібності	new	
deploy_sentry_turret	Deploy Sentry Turret					Здібність розгортання автоматичної турелі в доповненні Metropolis DLC.	Здібності	new	
hostage	Hostage	Hostages				Цивільні юніти заручників у доповненні Metropolis.	Юніти Федерації	new	
major_verhaegen	Major Verhaegen					Іменований персонаж у доповненні Metropolis.	Персонажі	new	
deploy_holographic_decoy	Deploy Holographic Decoy					Здібність із доповнення Metropolis DLC, що розгортає приманки для відволікання ворогів.	Здібності	new	
holographic_decoy	Holographic Decoy	holographic decoys				Голографічні приманки, які розгортає відповідна здібність у доповненні Metropolis DLC для привернення уваги та атак ворога.	Здібності	new	
booster_jump	Booster Jump					Здібність мобільності техніки з доповнення Metropolis DLC для подолання перешкод і перепадів висоти.	Здібності	new	
booster_bash	Booster Bash					Атакувальна стрибкова здібність техніки з доповнення Metropolis DLC.	Здібності	new	
repair_module	Repair Module					Постійно встановлювана ремонтна здібність-модуль техніки з доповнення Metropolis DLC.	Здібності	new	
cyclone	Cyclone	Cyclones				Бойова машина Федерації з доповнення Metropolis DLC, для якої встановлюється Repair Module.	Юніти Федерації	new	
jumpjet	Jumpjet					Здібність мобільності J.A.C. Trooper з доповнення Metropolis DLC для переміщення на височини.	Здібності	new	
parting_gift	Parting Gift					Здібність Marksman у доповненні Metropolis для передислокації з залишенням вибухового пристрою.	Здібності	new	
reduced_propellant_clip	Reduced Propellant Clip					Здібність у доповненні Metropolis, що дозволяє вести навісний вогонь вибуховими снарядами.	Здібності	new	
rocket_barrage	Rocket Barrage					Здібність бойового літального апарата в доповненні Metropolis, що випускає повний залп некерованих ракет.	Здібності	new	
